"Country Name,""Country Code"",""Indicator Name"",""Indicator Code"",""1960"",""1961"",""1962"",""1963"",""1964"",""1965"",""1966"",""1967"",""1968"",""1969"",""1970"",""1971"",""1972"",""1973"",""1974"",""1975"",""1976"",""1977"",""1978"",""1979"",""1980"",""1981"",""1982"",""1983"",""1984"",""1985"",""1986"",""1987"",""1988"",""1989"",""1990"",""1991"",""1992"",""1993"",""1994"",""1995"",""1996"",""1997"",""1998"",""1999"",""2000"",""2001"",""2002"",""2003"",""2004"",""2005"",""2006"",""2007"",""2008"",""2009"",""2010"",""2011"",""2012"",""2013"",""2014"",""2015"",""2016"",""2017"",""2018"",""2019"","
"Greece,""GRC"",""Chemicals (% of value added in manufacturing)"",""NV.MNF.CHEM.ZS.UN"","""","""","""",""6.80249118910829"",""6.65685613260572"",""8.70056297760443"",""8.3438625307979"",""9.29352965014183"",""8.68802886692247"",""9.8488784965792"",""8.70028314530946"",""9.14341769668432"",""9.91917863430984"",""8.67246088899925"",""9.03915436082189"",""9.77039393127033"",""9.48176122907805"",""8.62705434930244"",""8.41954056961801"",""8.23772376324395"",""8.07111936812936"",""8.34150757911753"",""8.92965062462228"",""8.87237575105969"",""9.08136154304635"",""8.94973981739409"",""8.90127179181531"",""9.08956079507817"",""9.21486526455471"",""9.52290497714048"",""9.79873543540492"",""9.70091251006732"",""9.40555159254381"",""10.5632349739824"",""11.3410064820236"",""10.2242539649973"",""10.6115801371497"",""9.25333711454533"",""9.54432971243246"",""9.73173806875295"",""9.73173806612497"",""5.37722153292668"",""5.37722153619242"",""5.15532453389044"",""5.97408804018381"",""5.80658707778556"",""5.99799070915611"",""6.46598663850799"",""8.26765910842931"",""8.61773168357563"",""4.5378372297408"",""7.78334628429525"",""8.29662699288331"",""12.0807129220317"",""11.0365883685395"",""10.3020693560763"",""10.3022584602509"","""","""","""","
"United States,""USA"",""Chemicals (% of value added in manufacturing)"",""NV.MNF.CHEM.ZS.UN"","""","""","""",""10.404050950094"",""10.582964009156"",""10.3993270763237"",""10.4177514318901"",""10.3988058787508"",""10.4144676658926"",""10.2978975812298"",""10.3664851501687"",""10.3776295208606"",""9.43080673507568"",""9.21873452817111"",""10.0736664595722"",""10.3909068221521"",""10.2318914567339"",""9.85497296833433"",""9.52904862320834"",""9.59066055859317"",""9.67008702428887"",""9.74226804123711"",""9.61004819629035"",""10.050714090785"",""9.87048745665919"",""9.80089117257437"",""9.94404538326008"",""10.5952227243383"",""11.2215556392122"",""11.3612653800129"",""11.7425932789254"",""12.0082151828184"",""11.7896859816511"",""11.7400553705521"",""11.58482575837"",""11.7608869327457"",""11.7608869326186"",""12.4204245095438"",""12.2970088824435"",""11.7650163691842"",""11.8375962499766"",""12.2514777007368"",""13.2894899670301"",""13.6305449853998"",""14.4664685064997"",""14.9371964457067"",""15.2432843097178"",""15.5045631683918"",""15.6560946637851"",""15.6560946634951"",""16.1928930474265"",""16.3356786185457"",""15.8550521788363"",""15.7540954828929"",""15.9308334557202"",""16.3159866398598"",""16.3159866530092"","""","""","""","
"Portugal,""PRT"",""Chemicals (% of value added in manufacturing)"",""NV.MNF.CHEM.ZS.UN"","""","""","""",""9.33260850326806"",""8.97380707970463"",""9.41312406720909"",""9.43673498121277"",""9.84674109812338"",""10.0809158165711"",""10.4417989943757"",""9.96791865557062"",""11.5383111041577"",""9.68980876430267"",""9.64419742868966"",""9.66938047692534"",""8.94945341092225"",""7.78964514151669"",""7.58759507367215"",""7.33138465974552"",""6.66798672854859"",""6.62556415273606"",""6.26037323028617"",""6.22426894298798"",""7.82054105751918"",""8.61323948316964"",""9.72742677427354"",""10.3751773490029"",""9.88210346120743"",""12.5785170487004"",""9.52435273770775"",""6.08596337146033"",""5.69860094505698"",""5.90834029750961"",""5.46495928040658"",""5.11499039441088"",""4.78421772754169"",""6.233400531183"",""6.52628308132723"",""6.52628290179659"",""5.58284025968146"",""5.36960520462293"",""5.32929518071555"",""5.44809504810812"",""5.66369932708783"","""",""5.94117659077576"","""",""6.1227273061219"",""6.41504895243239"",""5.7649720075865"",""5.89381280127144"",""6.07274982800279"",""5.84515061060014"",""5.92720025158896"",""5.92475271602231"",""6.51271655484475"",""6.51278431396098"","""","""","""","
"Mexico,""MEX"",""Chemicals (% of value added in manufacturing)"",""NV.MNF.CHEM.ZS.UN"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""17.4713407433137"",""17.6129275280895"",""18.5368446739984"",""18.3172114896952"",""18.1940280835384"",""11.8205618762323"",""17.5562802418223"",""17.0186095298529"",""16.8610291936994"",""16.5927060112802"",""14.7524801212266"",""16.5368811070874"",""15.6937213485981"",""15.6251911710124"",""15.3187288190845"",""15.6768975811298"",""15.3607425303299"",""16.4979517098507"",""17.170898448854"",""14.4534828081209"",""18.6087787302108"",""18.7793866632661"",""18.5175822763745"",""17.3880082285825"",""17.4578473926781"",""11.7117615757569"",""11.2329574137137"",""11.9802129791229"",""11.6185263881841"",""11.406516829242"",""10.0838776699739"",""8.64142382773296"",""9.02693114162222"","""","""","""","
"Japan,""JPN"",""Chemicals (% of value added in manufacturing)"",""NV.MNF.CHEM.ZS.UN"","""","""","""",""10.6645723691707"",""11.03120908855"",""11.2865983190173"",""10.9772509467288"",""10.9888070328365"",""10.8350607997504"",""11.0498515051143"",""10.5481828307184"",""10.612019445543"",""9.50427645820558"",""9.091131212021"",""9.22309350894246"",""9.16210233466418"",""8.82891205585018"",""8.91824367209433"",""9.09002533229877"",""9.18932129559079"",""8.67956709106643"",""8.55105793379744"",""8.6904412048727"",""9.19859272024072"",""9.15783246317471"",""8.8649274891005"",""9.57795039660144"",""10"",""9.83323599676681"",""9.89790319094099"",""9.51348337231456"",""9.26242066097614"",""9.77255479498373"",""10.0285561024864"",""10.104526514477"",""10.2029495101219"",""9.95036555100946"",""10.0936263956341"",""9.98170683210053"",""10.6107118015303"",""10.4003339140534"",""10.8559033997928"",""11.2825091857052"",""11.3445335550396"",""11.2378812958146"",""10.7257410055261"",""10.1915979510826"",""9.91540012335564"",""10.2139894370733"",""11.8532734007149"",""11.6536782718301"",""11.6536787873823"",""11.4263232216683"",""11.6342160063573"",""10.9537023936"",""10.9537022737092"",""10.9537022741109"","""","""","""","
"Finland,""FIN"",""Chemicals (% of value added in manufacturing)"",""NV.MNF.CHEM.ZS.UN"","""","""","""",""6.1001343293829"",""6.56371454085908"",""6.96436382786255"",""6.76567057717723"",""7.21802494523671"",""6.65864304882122"",""6.16650850092486"",""5.90829418886135"",""6.58977050163067"",""7.11815321576921"",""6.25350651971984"",""6.86900351567379"",""7.13494258578392"",""6.40027553573388"",""6.25001359541918"",""6.35213640388337"",""5.75916033430462"",""6.29906199718295"",""6.4118434544547"",""6.06629618434208"",""6.49143499914249"",""6.83473984397943"",""6.85419249760244"",""7.39549551651462"",""7.30548250481539"",""7.49420078155237"",""7.60690419521523"",""7.70252561284694"",""6.58547924206415"",""7.26311081222137"",""7.04113156206454"",""7.0571323182182"",""6.40774378017609"",""6.30552244949585"",""6.19689638702715"",""5.79242340293815"",""6.05583944075695"",""5.18342671829486"",""5.3028912730022"",""5.36874040766549"",""5.64981625777119"",""6.45107172977651"",""6.25411434145124"",""5.852362204997"",""5.89889550676461"",""6.87180014472805"",""5.54423142112667"",""8.85339051962361"",""3.32585205383352"",""3.94178624126565"",""3.94178624094665"",""10.9830280559978"",""7.15501073777911"",""7.42713785410512"","""","""","""","
"Spain,""ESP"",""Chemicals (% of value added in manufacturing)"",""NV.MNF.CHEM.ZS.UN"","""","""","""",""10.5416216865742"",""9.38399539435809"",""9.97930336960985"",""10.0886777533329"",""10.1330861290465"",""10.8356119942531"",""11.0346506126475"",""11.1111153728285"",""10.4438055925622"",""10.534133134599"",""10.7508353572357"",""11.5837862209629"",""11.993265610226"",""11.7559843278636"",""10.6052157253341"",""8.62643042535117"",""9.01451693200716"",""8.68572730481088"",""8.80158683389275"",""9.24606814900553"",""9.27738160715269"",""9.77735565610397"",""11.0437696022185"",""10.5473996115377"",""10.4638177920057"",""10.6271644355256"",""10.3763462049498"",""10.3061015330396"",""10.1025744223649"",""10.1393851418887"",""9.78466633243343"",""10.2253886628582"",""10.2890817155"",""9.68587888917135"",""9.79975386467679"",""9.50801683737371"",""9.46303141036303"",""9.5227567919586"",""9.31797742865078"",""9.01153725182548"",""8.75777725299982"",""8.69315682283714"",""8.63440299215208"",""8.45234271614242"",""8.52106784859915"",""9.61924757101418"",""9.81218863742565"",""10.7485962877101"",""10.9977107370271"",""11.4647598266606"",""11.6461599142496"",""12.2908714240809"",""12.2353035426968"",""12.2353035681065"","""","""","""","
"China,""CHN"",""Chemicals (% of value added in manufacturing)"",""NV.MNF.CHEM.ZS.UN"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""11.3445726473182"",""11.4534110367229"",""11.5889984431759"",""11.8285570953784"",""11.9965626824048"",""10.0490004430891"",""10.1812692441324"",""11.2596469531173"",""12.0161309993252"",""12.1812534085789"",""13.1073493440071"",""12.8259657506969"",""11.9765713238393"",""9.77536134810907"",""9.95014046265526"",""11.4062272543469"",""11.867664616356"",""11.5288408831766"",""11.4096122189066"",""11.9087529144874"",""12.0281931530474"",""11.5254178971296"",""11.3085596547335"",""10.9455976568021"",""11.1238096738042"",""10.9899536599251"",""10.4352318848741"",""10.7936022080641"",""10.7936022079296"",""10.7936022085299"",""10.7936022082782"",""10.8113828296373"",""10.8113828296427"",""10.8113828297258"",""10.8113828299006"",""10.8113828300648"",""10.8113828300699"","""","""","""","
"Austria,""AUT"",""Chemicals (% of value added in manufacturing)"",""NV.MNF.CHEM.ZS.UN"","""","""","""",""7.77119877188572"",""7.81910017527723"",""7.92172111511471"",""8.13352159479206"",""8.16023523748489"",""8.13570057148194"",""7.72720712919869"",""7.17699232175524"",""7.03021082435905"",""7.4915007327711"",""7.15179226296429"",""8.47297867711458"",""7.58869483054952"",""6.98727631512659"",""7.10843797551451"",""6.91354376204864"",""7.68244265543581"",""7.35158748576291"",""7.01906085941935"",""6.56791006857902"",""6.87041864118874"",""7.38914566721424"",""7.1157934877273"",""6.817310040743"",""7.16199851356096"",""8.4599247033469"",""7.77206608815476"",""7.49257567738028"",""7.4587401618985"",""7.32209478943251"",""7.5748753676474"",""7.48321725037448"",""5.14734038252751"",""5.18925839426547"",""6.24658907098054"",""6.54242247414992"",""6.23939868751146"",""6.85756668907554"",""5.45894802387649"",""6.18689478371938"",""6.63058375224417"",""6.29026546590794"",""6.73847550724933"",""7.01692396729343"",""7.06365862570586"",""6.49518537655675"",""7.42629533411955"",""8.23868263272743"",""8.09367633869131"",""6.80778142706602"",""7.67330899355812"",""8.28993841979885"",""8.63177294368518"",""8.6317227548247"","""","""","""","
"Australia,""AUS"",""Chemicals (% of value added in manufacturing)"",""NV.MNF.CHEM.ZS.UN"","""","""","""",""6.80147058823529"",""6.88504068433132"",""6.87732342007435"",""6.72622175512349"",""7.08386277001271"",""7.13025580711555"",""7.07585097829"",""6.94798108403056"",""6.79744525547445"",""6.9453044375645"",""7.0801419764618"",""7.07270650932623"",""6.6986589534578"",""6.58190419869899"",""6.72115785089546"",""7.30312145569308"",""7.37350049607649"",""7.38658546107597"",""7.57050271501139"",""7.73130140916916"",""7.95001927277399"",""8.04389702877824"",""8.07565061088389"",""8.11944304646871"",""8.34248802566243"",""8.35682153323502"",""7.80882611686047"",""7.3031598405638"",""7.83464841840654"",""8.60323886601359"",""8.89888031279741"",""8.86335393506368"",""7.92095473843171"",""7.92095473907788"",""8.81573674132787"",""8.22674071095558"",""8.40847656975425"",""8.37201775943849"",""8.28475803908404"",""7.53944105923686"",""6.9012072338317"",""6.98012933328064"",""7.13180365770852"",""7.30780046635994"",""6.83821075977939"",""7.02987534097363"",""7.97786865528025"",""8.69729299687889"",""8.85740197177879"",""8.49081583618551"",""8.47581274916773"",""8.98588463843594"",""9.32713292133227"",""9.49564974178146"","""","""","""","
