MetricXAxis,MetricYAxis,Year
8.41954056961801,18.670783816808697,1978
8.23772376324395,21.2190890481119,1979
8.071119368129361,23.393248787686,1980
8.34150757911753,22.0197312159447,1981
8.92965062462228,28.675561691168102,1982
8.872375751059689,27.433230123991297,1983
9.081361543046349,27.3274507574841,1984
8.94973981739409,29.5271440721108,1985
8.901271791815311,17.430308151462,1986
9.089560795078171,13.8351383533569,1987
9.21486526455471,5.1032735300700995,1988
9.522904977140481,6.432126763085541,1989
9.79873543540492,7.73339341471913,1990
9.70091251006732,9.670918208325052,1991
9.40555159254381,9.8145748321211,1992
10.5632349739824,10.6698933441478,1993
11.3410064820236,9.84792468427965,1994
